Parameters:
================================================================================================================================
Name                                                                    Shape                           Type            Grad
blocks.2.self_attn.to_qkv.weight                                        torch.Size([3072, 1024])        torch.float16   True
blocks.2.self_attn.to_qkv.bias                                          torch.Size([3072])              torch.float16   True
blocks.2.self_attn.q_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.2.self_attn.k_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.2.self_attn.to_out.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.2.self_attn.to_out.bias                                          torch.Size([1024])              torch.float16   True
blocks.2.cross_attn.to_q.weight                                         torch.Size([1024, 1024])        torch.float16   True
blocks.2.cross_attn.to_q.bias                                           torch.Size([1024])              torch.float16   True
blocks.2.cross_attn.to_kv.weight                                        torch.Size([2048, 1024])        torch.float16   True
blocks.2.cross_attn.to_kv.bias                                          torch.Size([2048])              torch.float16   True
blocks.2.cross_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.2.cross_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.2.mlp.mlp.0.weight                                               torch.Size([4096, 1024])        torch.float16   True
blocks.2.mlp.mlp.0.bias                                                 torch.Size([4096])              torch.float16   True
blocks.2.mlp.mlp.2.weight                                               torch.Size([1024, 4096])        torch.float16   True
blocks.2.mlp.mlp.2.bias                                                 torch.Size([1024])              torch.float16   True
blocks.2.adaLN_modulation.1.weight                                      torch.Size([6144, 1024])        torch.float16   True
blocks.2.adaLN_modulation.1.bias                                        torch.Size([6144])              torch.float16   True
blocks.3.norm2.weight                                                   torch.Size([1024])              torch.float32   True
blocks.3.norm2.bias                                                     torch.Size([1024])              torch.float32   True
blocks.3.self_attn.to_qkv.weight                                        torch.Size([3072, 1024])        torch.float16   True
blocks.3.self_attn.to_qkv.bias                                          torch.Size([3072])              torch.float16   True
blocks.3.self_attn.q_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.3.self_attn.k_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.3.self_attn.to_out.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.3.self_attn.to_out.bias                                          torch.Size([1024])              torch.float16   True
blocks.3.cross_attn.to_q.weight                                         torch.Size([1024, 1024])        torch.float16   True
blocks.3.cross_attn.to_q.bias                                           torch.Size([1024])              torch.float16   True
blocks.3.cross_attn.to_kv.weight                                        torch.Size([2048, 1024])        torch.float16   True
blocks.3.cross_attn.to_kv.bias                                          torch.Size([2048])              torch.float16   True
blocks.3.cross_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.3.cross_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.3.mlp.mlp.0.weight                                               torch.Size([4096, 1024])        torch.float16   True
blocks.3.mlp.mlp.0.bias                                                 torch.Size([4096])              torch.float16   True
blocks.3.mlp.mlp.2.weight                                               torch.Size([1024, 4096])        torch.float16   True
blocks.3.mlp.mlp.2.bias                                                 torch.Size([1024])              torch.float16   True
blocks.3.adaLN_modulation.1.weight                                      torch.Size([6144, 1024])        torch.float16   True
blocks.3.adaLN_modulation.1.bias                                        torch.Size([6144])              torch.float16   True
blocks.4.norm2.weight                                                   torch.Size([1024])              torch.float32   True
blocks.4.norm2.bias                                                     torch.Size([1024])              torch.float32   True
blocks.4.self_attn.to_qkv.weight                                        torch.Size([3072, 1024])        torch.float16   True
blocks.4.self_attn.to_qkv.bias                                          torch.Size([3072])              torch.float16   True
blocks.4.self_attn.q_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.4.self_attn.k_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.4.self_attn.to_out.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.4.self_attn.to_out.bias                                          torch.Size([1024])              torch.float16   True
blocks.4.cross_attn.to_q.weight                                         torch.Size([1024, 1024])        torch.float16   True
blocks.4.cross_attn.to_q.bias                                           torch.Size([1024])              torch.float16   True
blocks.4.cross_attn.to_kv.weight                                        torch.Size([2048, 1024])        torch.float16   True
blocks.4.cross_attn.to_kv.bias                                          torch.Size([2048])              torch.float16   True
blocks.4.cross_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.4.cross_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.4.mlp.mlp.0.weight                                               torch.Size([4096, 1024])        torch.float16   True
blocks.4.mlp.mlp.0.bias                                                 torch.Size([4096])              torch.float16   True
blocks.4.mlp.mlp.2.weight                                               torch.Size([1024, 4096])        torch.float16   True
blocks.4.mlp.mlp.2.bias                                                 torch.Size([1024])              torch.float16   True
blocks.4.adaLN_modulation.1.weight                                      torch.Size([6144, 1024])        torch.float16   True
blocks.4.adaLN_modulation.1.bias                                        torch.Size([6144])              torch.float16   True
blocks.5.norm2.weight                                                   torch.Size([1024])              torch.float32   True
blocks.5.norm2.bias                                                     torch.Size([1024])              torch.float32   True
blocks.5.self_attn.to_qkv.weight                                        torch.Size([3072, 1024])        torch.float16   True
blocks.5.self_attn.to_qkv.bias                                          torch.Size([3072])              torch.float16   True
blocks.5.self_attn.q_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.5.self_attn.k_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.5.self_attn.to_out.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.5.self_attn.to_out.bias                                          torch.Size([1024])              torch.float16   True
blocks.5.cross_attn.to_q.weight                                         torch.Size([1024, 1024])        torch.float16   True
blocks.5.cross_attn.to_q.bias                                           torch.Size([1024])              torch.float16   True
blocks.5.cross_attn.to_kv.weight                                        torch.Size([2048, 1024])        torch.float16   True
blocks.5.cross_attn.to_kv.bias                                          torch.Size([2048])              torch.float16   True
blocks.5.cross_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.5.cross_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.5.mlp.mlp.0.weight                                               torch.Size([4096, 1024])        torch.float16   True
blocks.5.mlp.mlp.0.bias                                                 torch.Size([4096])              torch.float16   True
blocks.5.mlp.mlp.2.weight                                               torch.Size([1024, 4096])        torch.float16   True
blocks.5.mlp.mlp.2.bias                                                 torch.Size([1024])              torch.float16   True
blocks.5.adaLN_modulation.1.weight                                      torch.Size([6144, 1024])        torch.float16   True
blocks.5.adaLN_modulation.1.bias                                        torch.Size([6144])              torch.float16   True
blocks.6.norm2.weight                                                   torch.Size([1024])              torch.float32   True
blocks.6.norm2.bias                                                     torch.Size([1024])              torch.float32   True
blocks.6.self_attn.to_qkv.weight                                        torch.Size([3072, 1024])        torch.float16   True
blocks.6.self_attn.to_qkv.bias                                          torch.Size([3072])              torch.float16   True
blocks.6.self_attn.q_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.6.self_attn.k_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.6.self_attn.to_out.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.6.self_attn.to_out.bias                                          torch.Size([1024])              torch.float16   True
blocks.6.cross_attn.to_q.weight                                         torch.Size([1024, 1024])        torch.float16   True
blocks.6.cross_attn.to_q.bias                                           torch.Size([1024])              torch.float16   True
blocks.6.cross_attn.to_kv.weight                                        torch.Size([2048, 1024])        torch.float16   True
blocks.6.cross_attn.to_kv.bias                                          torch.Size([2048])              torch.float16   True
blocks.6.cross_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.6.cross_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.6.mlp.mlp.0.weight                                               torch.Size([4096, 1024])        torch.float16   True
blocks.6.mlp.mlp.0.bias                                                 torch.Size([4096])              torch.float16   True
blocks.6.mlp.mlp.2.weight                                               torch.Size([1024, 4096])        torch.float16   True
blocks.6.mlp.mlp.2.bias                                                 torch.Size([1024])              torch.float16   True
blocks.6.adaLN_modulation.1.weight                                      torch.Size([6144, 1024])        torch.float16   True
blocks.6.adaLN_modulation.1.bias                                        torch.Size([6144])              torch.float16   True
blocks.7.norm2.weight                                                   torch.Size([1024])              torch.float32   True
blocks.7.norm2.bias                                                     torch.Size([1024])              torch.float32   True
blocks.7.self_attn.to_qkv.weight                                        torch.Size([3072, 1024])        torch.float16   True
blocks.7.self_attn.to_qkv.bias                                          torch.Size([3072])              torch.float16   True
blocks.7.self_attn.q_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.7.self_attn.k_rms_norm.gamma                                     torch.Size([16, 64])            torch.float32   True
blocks.7.self_attn.to_out.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.7.self_attn.to_out.bias                                          torch.Size([1024])              torch.float16   True
blocks.7.cross_attn.to_q.weight                                         torch.Size([1024, 1024])        torch.float16   True
blocks.7.cross_attn.to_q.bias                                           torch.Size([1024])              torch.float16   True
blocks.7.cross_attn.to_kv.weight                                        torch.Size([2048, 1024])        torch.float16   True
blocks.7.cross_attn.to_kv.bias                                          torch.Size([2048])              torch.float16   True
blocks.7.cross_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.7.cross_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.7.mlp.mlp.0.weight                                               torch.Size([4096, 1024])        torch.float16   True
blocks.7.mlp.mlp.0.bias                                                 torch.Size([4096])              torch.float16   True
blocks.7.mlp.mlp.2.weight                                               torch.Size([1024, 4096])        torch.float16   True
blocks.7.mlp.mlp.2.bias                                                 torch.Size([1024])              torch.float16   True
blocks.7.adaLN_modulation.1.weight                                      torch.Size([6144, 1024])        torch.float16   True
blocks.7.adaLN_modulation.1.bias                                        torch.Size([6144])              torch.float16   True
blocks.8.norm2.weight                                                   torch.Size([1024])              torch.float32   True
